Date,Open,High,Low,Close,Adj Close,Volume
2013-10-09,15.260000,15.260000,15.260000,15.260000,10.536992,0
2013-10-10,15.420000,15.420000,15.420000,15.420000,10.647473,0
2013-10-11,15.470000,15.470000,15.470000,15.470000,10.681997,0
2013-10-14,15.500000,15.500000,15.500000,15.500000,10.702713,0
2013-10-15,15.460000,15.460000,15.460000,15.460000,10.675093,0
2013-10-16,15.570000,15.570000,15.570000,15.570000,10.751046,0
2013-10-17,15.650000,15.650000,15.650000,15.650000,10.806287,0
2013-10-18,15.720000,15.720000,15.720000,15.720000,10.854622,0
2013-10-21,15.720000,15.720000,15.720000,15.720000,10.854622,0
2013-10-22,15.780000,15.780000,15.780000,15.780000,10.896051,0
2013-10-23,15.720000,15.720000,15.720000,15.720000,10.854622,0
2013-10-24,15.760000,15.760000,15.760000,15.760000,10.882242,0
2013-10-25,15.770000,15.770000,15.770000,15.770000,10.889146,0
2013-10-28,15.760000,15.760000,15.760000,15.760000,10.882242,0
2013-10-29,15.790000,15.790000,15.790000,15.790000,10.902958,0
2013-10-30,15.750000,15.750000,15.750000,15.750000,10.875339,0
2013-10-31,15.700000,15.700000,15.700000,15.700000,10.840812,0
2013-11-01,15.670000,15.670000,15.670000,15.670000,10.820098,0
2013-11-04,15.710000,15.710000,15.710000,15.710000,10.847716,0
2013-11-05,15.670000,15.670000,15.670000,15.670000,10.820098,0
2013-11-06,15.690000,15.690000,15.690000,15.690000,10.833906,0
2013-11-07,15.580000,15.580000,15.580000,15.580000,10.757954,0
2013-11-08,15.640000,15.640000,15.640000,15.640000,10.799383,0
2013-11-11,15.650000,15.650000,15.650000,15.650000,10.806287,0
2013-11-12,15.630000,15.630000,15.630000,15.630000,10.792477,0
2013-11-13,15.690000,15.690000,15.690000,15.690000,10.833906,0
2013-11-14,15.750000,15.750000,15.750000,15.750000,10.875339,0
2013-11-15,15.810000,15.810000,15.810000,15.810000,10.916766,0
2013-11-18,15.790000,15.790000,15.790000,15.790000,10.902958,0
2013-11-19,15.750000,15.750000,15.750000,15.750000,10.875339,0
2013-11-20,15.710000,15.710000,15.710000,15.710000,10.847716,0
2013-11-21,15.780000,15.780000,15.780000,15.780000,10.896051,0
2013-11-22,15.840000,15.840000,15.840000,15.840000,10.937481,0
2013-11-25,15.840000,15.840000,15.840000,15.840000,10.937481,0
2013-11-26,15.850000,15.850000,15.850000,15.850000,10.944386,0
2013-11-27,15.870000,15.870000,15.870000,15.870000,10.958197,0
2013-11-29,15.880000,15.880000,15.880000,15.880000,10.965100,0
2013-12-02,15.840000,15.840000,15.840000,15.840000,10.937481,0
2013-12-03,15.800000,15.800000,15.800000,15.800000,10.909862,0
2013-12-04,15.780000,15.780000,15.780000,15.780000,10.896051,0
